YYYY,MM,DD,DHW,BAA
1986,12,28,5.4043,3
1986,12,29,5.3729,3
1986,12,30,5.1929,3
1986,12,31,5.1929,3
1987,1,1,5.1929,3
1987,1,2,5.1929,3
1987,1,3,5.1929,3
1987,1,4,5.1929,3
1987,1,5,5.3429,3
1987,1,6,5.4914,3
1987,1,7,5.4914,3
1987,1,8,5.4914,3
1987,1,9,5.4914,3
1987,1,10,5.4914,3
1987,1,11,5.4914,3
1987,1,12,5.3057,3
1987,1,13,5.08,1
1987,1,14,4.8514,1
1987,1,15,4.7686,3
1987,1,16,4.5443,3
1987,1,17,4.3443,3
1987,1,18,4.3443,3
1987,1,19,4.3443,3
1987,1,20,4.4086,3
1987,1,21,4.4214,3
1987,1,22,4.4071,3
1987,1,23,4.5543,3
1987,1,24,4.5543,3
1987,1,25,4.75,3
1987,1,26,4.9271,3
1987,1,27,5.0743,3
1987,1,28,5.0743,3
1987,1,29,5.0743,3
1987,1,30,5.0743,3
1987,1,31,5.0743,3
1987,2,1,5.0743,3
1987,2,2,5.0743,3
1987,2,3,5.0743,1
1987,2,4,4.9286,1
1987,2,5,4.9286,1
1987,2,6,4.9286,1
1987,2,7,4.9286,1
1987,2,8,4.9286,1
1987,2,9,4.9286,1
1987,2,10,4.9286,1
1987,2,11,4.9286,1
1987,2,12,4.7843,1
1987,2,13,4.6,1
1987,2,14,4.6,1
1987,2,15,4.6,1
1987,2,16,4.4471,1
1987,2,17,4.2914,1
1987,2,18,4.1257,1
1987,2,19,4.1257,1
1987,2,20,4.1257,1
1987,2,21,4.1257,1
1987,2,22,3.9757,1
1987,2,23,3.9757,1
1987,2,24,3.9757,1
1987,2,25,3.9757,1
1987,2,26,3.9757,1
1987,2,27,3.8329,1
1987,2,28,3.8329,1
1987,3,1,3.8329,1
1987,3,2,3.9786,2
1987,3,3,3.9786,2
1987,3,4,3.9786,2
1987,3,5,3.9786,2
1987,3,6,3.9786,2
1987,3,7,3.9786,2
1987,3,8,3.9786,2
1987,3,9,3.9786,1
1987,3,10,3.9786,1
1987,3,11,3.9786,1
1987,3,12,3.8314,1
1987,3,13,3.6671,1
1987,3,14,3.4843,1
1987,3,15,3.4843,1
1987,3,16,3.4043,2
1987,3,17,3.1029,2
1987,3,18,2.7986,2
