"Site","GenSiteID","Class","Year","CoralSize","log_CoralSize","Recruitment","Mortality","GrowthRate","Next_Year_Mortality","Max_DHW","Max_DHW_Lag1","Max_DHW_Lag2","Mortality_Lag1","FirstYear","first_recruitment_year","first_mortality_year","SiteMortality_Prop","SiteMortality_Prop_Lag1"
"FR14","FR14_1870","coral_I",2019,11.0889572,2.40594976628287,1,0,0,0,6.3129,4.63,0,0,0,2015,2016,0.198215124471584,0.198215124471584
"FR14","FR14_1871","coral_I",2019,103.46975505,4.6392793482612,1,0,0,0,6.3129,4.63,0,1,0,2015,2018,0.198215124471584,0.198215124471584
"FR14","FR14_1886","coral_D",2019,29.14112723,3.37215048327214,0,0,0.227770917069576,0,6.3129,4.63,0,0,0,2016,2015,0.198215124471584,0.198215124471584
"FR14","FR14_1898","coral_B",2019,25.52090885,3.23949807108697,0,0,0.568924152369173,0,6.3129,4.63,0,0,0,2016,2015,0.198215124471584,0.198215124471584
"FR14","FR14_1899","coral_B",2019,41.66512595,3.72966447075052,0,0,-0.527284344804176,0,6.3129,4.63,0,0,0,2016,2015,0.198215124471584,0.198215124471584
"FR14","FR14_1903","coral_B",2019,12.26308208,2.50659329206255,0,0,-0.996497092276966,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1919","coral_B",2019,54.35219757,3.99548504642045,0,0,0.346058997210423,0,6.3129,4.63,0,0,0,2016,2015,0.198215124471584,0.198215124471584
"FR14","FR14_1944","coral_B",2019,78.16084097,4.35876876727234,0,0,-0.157928815782568,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_195","coral_G",2019,302.5002295,5.7120820361483,0,0,-0.158270023484155,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_196","coral_G",2019,174.21077907,5.1602659400586,0,0,0.228117051924104,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_197","coral_I",2019,448.07540733,6.10496153818381,1,0,0,0,6.3129,4.63,0,0,0,2019,2017,0.198215124471584,0.198215124471584
"FR14","FR14_198","coral_I",2019,1503.62998174,7.31563745146196,0,0,-0.060942274303461,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_199","coral_G",2019,201.70487001,5.30680558948772,0,0,0.0613474555582434,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
